# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Pure six-byte bodies in exact FPO records or contiguous retail IAT-stub bands.
rva	size	iat_rva	import	evidence
0x16be58	0x6	0x232c64	KERNEL32.dll!GetPrivateProfileStringA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be5e	0x6	0x232c60	KERNEL32.dll!InterlockedIncrement	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be64	0x6	0x232c5c	KERNEL32.dll!InterlockedDecrement	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be6a	0x6	0x232c58	KERNEL32.dll!lstrlenA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be70	0x6	0x232c54	KERNEL32.dll!WideCharToMultiByte	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be76	0x6	0x232c50	KERNEL32.dll!MultiByteToWideChar	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be7c	0x6	0x232c4c	KERNEL32.dll!SetThreadPriority	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be82	0x6	0x232c48	KERNEL32.dll!GetCurrentThreadId	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be88	0x6	0x232c44	KERNEL32.dll!lstrcmpA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be8e	0x6	0x232c40	KERNEL32.dll!LocalFree	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be94	0x6	0x232c3c	KERNEL32.dll!FormatMessageA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be9a	0x6	0x232c38	KERNEL32.dll!MulDiv	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bea0	0x6	0x232c34	KERNEL32.dll!lstrcpynA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bea6	0x6	0x232c2c	KERNEL32.dll!OutputDebugStringA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16beac	0x6	0x232c20	KERNEL32.dll!GlobalLock	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16beb2	0x6	0x232c28	KERNEL32.dll!DuplicateHandle	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16beb8	0x6	0x232c24	KERNEL32.dll!GetCurrentProcess	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bebe	0x6	0x232c14	KERNEL32.dll!ReadFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bec4	0x6	0x232c1c	KERNEL32.dll!WriteFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16beca	0x6	0x232c18	KERNEL32.dll!SetFilePointer	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bed0	0x6	0x232c08	KERNEL32.dll!FlushFileBuffers	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bed6	0x6	0x232c10	KERNEL32.dll!LockFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bedc	0x6	0x232c0c	KERNEL32.dll!UnlockFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bee2	0x6	0x232bfc	KERNEL32.dll!SetEndOfFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bee8	0x6	0x232c04	KERNEL32.dll!MoveFileA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16beee	0x6	0x232c00	KERNEL32.dll!FreeLibrary	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bef4	0x6	0x232bf0	KERNEL32.dll!GetProcAddress	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16befa	0x6	0x232bf8	KERNEL32.dll!LoadLibraryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf00	0x6	0x232bf4	KERNEL32.dll!GetFullPathNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf06	0x6	0x232be4	KERNEL32.dll!GetStringTypeExA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf0c	0x6	0x232bec	KERNEL32.dll!GetThreadLocale	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf12	0x6	0x232be8	KERNEL32.dll!lstrcmpiA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf18	0x6	0x232bd8	KERNEL32.dll!GetShortPathNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf1e	0x6	0x232be0	KERNEL32.dll!GetModuleFileNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf24	0x6	0x232bdc	KERNEL32.dll!SetLastError	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf2a	0x6	0x232bcc	KERNEL32.dll!GetVersion	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf30	0x6	0x232bd4	KERNEL32.dll!GlobalAddAtomA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf36	0x6	0x232bd0	KERNEL32.dll!GlobalGetAtomNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf3c	0x6	0x232b24	KERNEL32.dll!lstrcatA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf42	0x6	0x232b30	KERNEL32.dll!GetCurrentThread	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf48	0x6	0x232b28	KERNEL32.dll!GlobalDeleteAtom	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf4e	0x6	0x232a94	KERNEL32.dll!GlobalAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
